AN,ME,DMES,FGEN,PRO,CAN,DIS,DEL,SDEL,MOV,NAC,ED,SEX,ARM,CAT,MOD
2010,1,Enero,01/01/2010,ALAJUELA,SAN_RAMON,SAN_RAFAEL,HO,,"DISCUSION_RIÑA",NICARAGUA,,MASCULINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,HEREDIA,HEREDIA,SAN_FRANCISCO,HO,,OTRO,COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,PUNTARENAS,PUNTARENAS,BARRANCA,HO,,NO_DETERMINADO,COSTA_RICA,,MASCULINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,DESAMPARADOS,DESAMPARADOS,HO,,POR_LA_COMISION_DE_OTRO_DELITO,COSTA_RICA,,FEMENINO,OTRAS,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,DESAMPARADOS,LOS_GUIDO,HO,,SEXUAL,COSTA_RICA,,FEMENINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,GOICOECHEA,PURRAL,HO,,NO_DETERMINADO,COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,ALAJUELITA,SAN_FELIPE,HO,,"DISCUSION_RIÑA",COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,DESAMPARADOS,DESAMPARADOS,HO,,POR_LA_COMISION_DE_OTRO_DELITO,NICARAGUA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,GOICOECHEA,PURRAL,HO,,POR_LA_COMISION_DE_OTRO_DELITO,COSTA_RICA,,MASCULINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,ALAJUELA,ALAJUELA,SAN_JOSE,HO,,NO_DETERMINADO,COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,ALAJUELITA,SAN_FELIPE,HO,,"DISCUSION_RIÑA",COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,ESCAZU,SAN_RAFAEL,HO,,"DISCUSION_RIÑA",COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,HEREDIA,HEREDIA,SAN_FRANCISCO,HO,,"DISCUSION_RIÑA",DESCONOCIDO,,MASCULINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,LIMON,GUACIMO,POCORA,HO,,"DISCUSION_RIÑA",COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,LIMON,GUACIMO,POCORA,HO,,"DISCUSION_RIÑA",COSTA_RICA,,MASCULINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,SAN_JOSE,PAVAS,HO,,"DISCUSION_RIÑA",COSTA_RICA,,MASCULINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,DESAMPARADOS,SAN_RAFAEL_ABAJO,HO,,"DISCUSION_RIÑA",COSTA_RICA,,MASCULINO,ARMA_BLANCA,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,ALAJUELITA,CONCEPCION,HO,,POR_LA_COMISION_DE_OTRO_DELITO,COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,GOICOECHEA,IPIS,HO,,"DISCUSION_RIÑA",NICARAGUA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,SAN_JOSE,SAN_SEBASTIAN,HO,,NO_DETERMINADO,COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,DESAMPARADOS,DESAMPARADOS,HO,,POR_LA_COMISION_DE_OTRO_DELITO,COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
2010,1,Enero,01/01/2010,SAN_JOSE,CURRIDABAT,TIRRASES,HO,,POR_LA_COMISION_DE_OTRO_DELITO,COSTA_RICA,,MASCULINO,ARMA_DE_FUEGO,HO,
